vendor_name,model_name,machine_cycle_time,min_main_memory,max_main_memory,cache_memory,min_channels,max_channels,estimated_performance,published_performance
cdc,omega:480-ii,50.0,1000.0,4000,8.0,1,5.0,29,29
cdc,omega:480-iii,50.0,2000.0,8000,8.0,1,5.0,44,71
cambex,1636-1,50.0,1000.0,4000,8.0,3,5.0,30,26
cambex,1636-10,50.0,1000.0,8000,8.0,3,5.0,41,36
cambex,1641-1,50.0,2000.0,16000,8.0,3,5.0,74,40
cambex,1641-11,50.0,2000.0,16000,8.0,3,6.0,74,52
cambex,1651-1,50.0,2000.0,16000,8.0,3,6.0,74,60
dec,decsys:10:1091,133.0,1000.0,12000,9.0,3,12.0,54,72
dec,decsys:20:2060,133.0,1000.0,8000,9.0,3,12.0,41,72
dec,microvax-1,810.0,512.0,512,8.0,1,1.0,18,18
dec,vax:11/730,810.0,1000.0,5000,0.0,1,1.0,28,20
dec,vax:11/750,320.0,512.0,8000,4.0,1,5.0,36,40
dec,vax:11/780,200.0,512.0,8000,8.0,1,8.0,38,62
dg,eclipse:c/350,700.0,384.0,8000,0.0,1,1.0,34,24
dg,eclipse:m/600,700.0,256.0,2000,0.0,1,1.0,19,24
dg,eclipse:mv/10000,140.0,1000.0,16000,16.0,1,3.0,72,138
dg,eclipse:mv/4000,200.0,1000.0,8000,0.0,1,2.0,36,36
dg,eclipse:mv/6000,110.0,1000.0,4000,16.0,1,2.0,30,26
dg,eclipse:mv/8000,110.0,1000.0,12000,16.0,1,2.0,56,60
dg,eclipse:mv/8000-ii,220.0,1000.0,8000,16.0,1,2.0,42,71
formation,f4000/100,800.0,256.0,8000,0.0,1,4.0,34,12
formation,f4000/200,800.0,256.0,8000,0.0,1,4.0,34,14
formation,f4000/200ap,800.0,256.0,8000,0.0,1,4.0,34,20
formation,f4000/300,800.0,256.0,8000,0.0,1,4.0,34,16
formation,f4000/300ap,800.0,256.0,8000,0.0,1,4.0,34,22
four-phase,2000/260,125.0,512.0,1000,0.0,8,20.0,19,36
gould,concept:32/8705,75.0,2000.0,8000,64.0,1,38.0,75,144
gould,concept:32/8750,75.0,2000.0,16000,64.0,1,38.0,113,144
gould,concept:32/8780,75.0,2000.0,16000,128.0,1,38.0,157,259
hp,3000/30,90.0,256.0,1000,0.0,3,10.0,18,17
hp,3000/40,105.0,256.0,2000,0.0,3,10.0,20,26
hp,3000/44,105.0,1000.0,4000,0.0,3,24.0,28,32
hp,3000/48,105.0,2000.0,4000,8.0,3,19.0,33,32
hp,3000/64,75.0,2000.0,8000,8.0,3,24.0,47,62
hp,3000/88,75.0,3000.0,8000,8.0,3,48.0,54,64
hp,3000/iii,175.0,256.0,2000,0.0,3,24.0,20,22
harris,100,300.0,768.0,3000,0.0,6,24.0,23,36
harris,300,300.0,768.0,3000,6.0,6,24.0,25,44
harris,500,300.0,768.0,12000,6.0,6,24.0,52,50
harris,600,300.0,768.0,4500,0.0,1,24.0,27,45
harris,700,300.0,384.0,12000,6.0,1,24.0,50,53
harris,80,300.0,192.0,768,6.0,6,24.0,18,36
harris,800,180.0,768.0,12000,6.0,1,31.0,53,84
honeywell,dps:6/35,330.0,1000.0,3000,0.0,2,4.0,23,16
honeywell,dps:6/92,300.0,1000.0,4000,8.0,3,64.0,30,38
honeywell,dps:6/96,300.0,1000.0,16000,8.0,2,112.0,73,38
honeywell,dps:7/35,330.0,1000.0,2000,0.0,1,2.0,20,16
honeywell,dps:7/45,330.0,1000.0,4000,0.0,3,6.0,25,22
honeywell,dps:7/55,140.0,2000.0,4000,0.0,3,6.0,28,29
honeywell,dps:7/65,140.0,2000.0,4000,0.0,4,8.0,29,40
honeywell,dps:8/44,140.0,2000.0,4000,8.0,1,20.0,32,35
honeywell,dps:8/49,140.0,2000.0,32000,32.0,1,20.0,175,134
honeywell,dps:8/50,140.0,2000.0,8000,32.0,1,54.0,57,66
honeywell,dps:8/52,140.0,2000.0,32000,32.0,1,54.0,181,141
honeywell,dps:8/62,140.0,2000.0,32000,32.0,1,54.0,181,189
honeywell,dps:8/20,140.0,2000.0,4000,8.0,1,20.0,32,22
ibm,3033:s,57.0,4000.0,16000,1.0,6,12.0,82,132
ibm,3033:u,57.0,4000.0,24000,64.0,12,16.0,171,237
ibm,3081,26.0,16000.0,32000,64.0,16,24.0,361,465
ibm,3081:d,26.0,16000.0,32000,64.0,8,24.0,350,465
ibm,3083:b,26.0,8000.0,32000,0.0,8,24.0,220,277
ibm,3083:e,26.0,8000.0,16000,0.0,8,16.0,113,185
ibm,370/125-2,480.0,96.0,512,0.0,1,1.0,15,6
ibm,370/148,203.0,1000.0,2000,0.0,1,5.0,21,24
ibm,370/158-3,115.0,512.0,6000,16.0,1,6.0,35,45
ibm,38/3,1100.0,512.0,1500,0.0,1,1.0,18,7
ibm,38/4,1100.0,768.0,2000,0.0,1,1.0,20,13
ibm,38/5,600.0,768.0,2000,0.0,1,1.0,20,16
ibm,38/7,400.0,2000.0,4000,0.0,1,1.0,28,32
ibm,38/8,400.0,4000.0,8000,0.0,1,1.0,45,32
ibm,4321,900.0,1000.0,1000,0.0,1,2.0,18,11
ibm,4331-1,900.0,512.0,1000,0.0,1,2.0,17,11
ibm,4331-11,900.0,1000.0,4000,4.0,1,2.0,26,18
ibm,4331-2,900.0,1000.0,4000,8.0,1,2.0,28,22
ibm,4341,900.0,2000.0,4000,0.0,3,6.0,28,37
ibm,4341-1,225.0,2000.0,4000,8.0,3,6.0,31,40
ibm,4341-10,225.0,2000.0,4000,8.0,3,6.0,31,34
ibm,4341-11,180.0,2000.0,8000,8.0,1,6.0,42,50
ibm,4341-12,185.0,2000.0,16000,16.0,1,6.0,76,76
ibm,4341-2,180.0,2000.0,16000,16.0,1,6.0,76,66
ibm,4341-9,225.0,1000.0,4000,2.0,3,6.0,26,24
ibm,4361-4,25.0,2000.0,12000,8.0,1,4.0,59,49
ibm,4361-5,25.0,2000.0,12000,16.0,3,5.0,65,66
ibm,4381-1,17.0,4000.0,16000,8.0,6,12.0,101,100
ibm,4381-2,17.0,4000.0,16000,32.0,6,12.0,116,133
ibm,8130-a,1500.0,768.0,1000,0.0,0,0.0,18,12
ibm,8130-b,1500.0,768.0,2000,0.0,0,0.0,20,18
ibm,8140,800.0,768.0,2000,0.0,0,0.0,20,20
ipl,4436,50.0,2000.0,4000,0.0,3,6.0,30,27
ipl,4443,50.0,2000.0,8000,8.0,3,6.0,44,45
ipl,4445,50.0,2000.0,8000,8.0,1,6.0,44,56
ipl,4446,50.0,2000.0,16000,24.0,1,6.0,82,70
ipl,4460,50.0,2000.0,16000,24.0,1,6.0,82,80
ipl,4480,50.0,8000.0,16000,48.0,1,10.0,128,136
magnuson,m80/30,100.0,1000.0,8000,0.0,2,6.0,37,16
magnuson,m80/31,100.0,1000.0,8000,24.0,2,6.0,46,26
magnuson,m80/32,,,8000,24.0,3,6.0,46,32
magnuson,m80/42,50.0,2000.0,16000,12.0,3,16.0,80,45
magnuson,m80/43,50.0,2000.0,16000,24.0,6,16.0,88,54
magnuson,m80/44,50.0,2000.0,16000,24.0,6,16.0,88,65
microdata,seq.ms/3200,150.0,512.0,4000,0.0,8,128.0,33,30
nas,as/3000,115.0,2000.0,8000,16.0,1,3.0,46,50
nas,as/3000-n,115.0,2000.0,4000,2.0,1,5.0,29,40
nas,as/5000,92.0,2000.0,8000,32.0,1,6.0,53,62
nas,as/5000-e,92.0,2000.0,8000,32.0,1,6.0,53,60
nas,as/5000-n,92.0,2000.0,8000,4.0,1,6.0,41,50
nas,as/6130,75.0,4000.0,16000,16.0,1,6.0,86,66
nas,as/6150,60.0,4000.0,16000,32.0,1,6.0,95,86
nas,as/6620,60.0,2000.0,16000,64.0,5,8.0,107,74
nas,as/6630,60.0,4000.0,16000,64.0,5,8.0,117,93
nas,as/6650,50.0,4000.0,16000,64.0,5,10.0,119,111
nas,as/7000,72.0,4000.0,16000,64.0,8,16.0,120,143
nas,as/7000-n,72.0,2000.0,8000,16.0,6,8.0,48,105
nas,as/8040,40.0,8000.0,16000,32.0,8,16.0,126,214
nas,as/8050,40.0,8000.0,32000,64.0,8,24.0,266,277
nas,as/8060,35.0,8000.0,32000,64.0,8,24.0,270,370
nas,as/9000-dpc,38.0,16000.0,32000,128.0,16,32.0,426,510
nas,as/9000-n,48.0,4000.0,24000,32.0,8,24.0,151,214
nas,as/9040,38.0,8000.0,32000,64.0,8,24.0,267,326
nas,as/9060,30.0,16000.0,32000,256.0,16,24.0,603,510
ncr,v8535:ii,112.0,1000.0,1000,0.0,1,4.0,19,8
ncr,v8545:ii,84.0,1000.0,2000,0.0,1,6.0,21,12
ncr,v8555:ii,56.0,1000.0,4000,0.0,1,6.0,26,17
ncr,v8565:ii,56.0,2000.0,6000,0.0,1,,35,21
ncr,v8565:ii-e,56.0,2000.0,8000,0.0,1,8.0,41,24
ncr,v8575:ii,56.0,4000.0,8000,0.0,1,8.0,47,34
ncr,v8585:ii,56.0,4000.0,12000,0.0,1,8.0,62,42
ncr,v8595:ii,56.0,4000.0,16000,0.0,1,8.0,78,46
ncr,v8635,38.0,4000.0,8000,32.0,16,32.0,80,51
ncr,v8650,38.0,4000.0,8000,32.0,16,32.0,80,116
ncr,v8655,38.0,8000.0,16000,64.0,4,8.0,142,100
ncr,v8665,38.0,8000.0,24000,160.0,4,8.0,281,140
ncr,v8670,38.0,4000.0,16000,128.0,16,32.0,190,212
nixdorf,8890/30,200.0,1000.0,2000,0.0,1,2.0,21,25
nixdorf,8890/50,200.0,1000.0,4000,0.0,1,4.0,25,30
nixdorf,8890/70,200.0,2000.0,8000,64.0,1,5.0,67,41
perkin-elmer,3205,250.0,512.0,4000,0.0,1,7.0,24,25
perkin-elmer,3210,250.0,512.0,4000,0.0,4,7.0,24,50
perkin-elmer,3230,250.0,1000.0,16000,1.0,1,8.0,64,50
prime,50-2250,160.0,512.0,4000,2.0,1,5.0,25,30
prime,50-250-ii,160.0,512.0,2000,2.0,3,8.0,20,32
prime,50-550-ii,160.0,1000.0,4000,8.0,1,14.0,29,38
prime,50-750-ii,160.0,1000.0,8000,16.0,1,14.0,43,60
prime,50-850-ii,160.0,2000.0,8000,32.0,1,13.0,53,109
siemens,7.521,240.0,512.0,1000,8.0,1,3.0,19,6
siemens,7.531,240.0,512.0,2000,8.0,1,5.0,22,11
siemens,7.536,105.0,2000.0,4000,8.0,3,8.0,31,22
siemens,7.541,105.0,2000.0,6000,16.0,6,16.0,41,33
siemens,7.551,105.0,2000.0,8000,16.0,4,14.0,47,58
siemens,7.561,52.0,4000.0,16000,32.0,4,12.0,99,130
siemens,7.865-2,70.0,4000.0,12000,8.0,6,8.0,67,75
siemens,7.870-2,59.0,4000.0,12000,32.0,6,12.0,81,113
siemens,7.872-2,59.0,8000.0,16000,64.0,12,,149,188
siemens,7.875-2,26.0,8000.0,24000,32.0,8,16.0,183,173
siemens,7.880-2,26.0,8000.0,32000,64.0,12,16.0,275,248
siemens,7.881-2,26.0,8000.0,32000,128.0,24,,382,405
sperry,1100/61-h1,116.0,2000.0,8000,32.0,5,28.0,56,70
sperry,1100/81,50.0,2000.0,32000,24.0,6,26.0,182,114
sperry,1100/82,50.0,2000.0,32000,48.0,26,52.0,227,208
sperry,1100/83,50.0,2000.0,32000,112.0,52,104.0,341,307
sperry,1100/84,50.0,4000.0,32000,112.0,52,104.0,360,397
sperry,1100/93,30.0,8000.0,64000,96.0,12,176.0,919,915
sperry,1100/94,30.0,8000.0,64000,128.0,12,176.0,978,1150
sperry,80/3,180.0,262.0,4000,0.0,1,,24,12
sperry,80/4,180.0,512.0,4000,0.0,1,,24,14
sperry,80/5,180.0,262.0,4000,0.0,1,,24,18
sperry,80/6,180.0,512.0,4000,0.0,1,3.0,24,21
sperry,80/8,124.0,1000.0,8000,0.0,1,8.0,37,42
sperry,90/80-model-3,98.0,1000.0,8000,32.0,2,8.0,50,46
sratus,32,125.0,2000.0,8000,0.0,2,14.0,41,52
wang,vs-100,480.0,512.0,8000,32.0,0,0.0,47,67
wang,vs-90,480.0,1000.0,4000,0.0,0,0.0,25,45
