edad,conversacion_con_IA_horas,interaccion_social_presencial_horas,tiempo_redes_sociales_horas,tiempo_frente_pantallas_horas,total_amigos_cercanos,nivel_soledad,nivel_apego_emocional,nivel_satisfaccion_relaciones_reales,horas_sueño,nivel_calidad_sueño,horas_ejercicio,nivel_ansiedad,nivel_depresion,nivel_estres,nivel_autoestima,riesgo_dependencia
39,1.98,2.56,2.87,7.33,2,7.2,6.6,5.9,4.6,6.3,2.2,4.9,3.5,3.4,3.0,Bajo
17,0.0,4.43,0.52,3.03,3,2.9,1.0,8.4,9.2,9.5,4.1,2.7,1.0,3.7,8.5,Bajo
19,0.0,5.17,1.73,4.7,3,4.6,2.5,5.6,7.3,7.3,3.5,4.2,2.9,5.8,6.4,Bajo
33,3.74,2.64,5.15,11.22,4,7.0,5.8,3.4,6.6,5.7,3.2,5.0,6.0,8.5,3.2,Alto
21,3.21,3.14,3.11,4.55,3,7.8,9.4,2.2,6.1,4.1,1.2,4.8,9.7,5.5,4.4,Alto
35,2.88,1.77,3.52,8.91,4,5.1,6.6,6.1,7.5,5.3,1.5,6.1,8.1,4.5,5.4,Moderado
23,2.49,5.26,2.08,5.11,7,1.7,5.6,7.5,8.0,8.8,3.6,4.9,3.1,5.9,7.1,Bajo
21,1.46,4.12,2.68,4.27,4,6.4,5.8,4.0,7.6,6.6,1.5,4.8,6.0,7.1,4.0,Moderado
32,0.55,1.77,2.54,3.11,2,7.9,6.0,2.8,6.7,5.5,4.0,7.7,4.2,8.0,6.8,Alto
18,2.57,4.13,1.65,4.13,3,5.3,5.9,4.6,5.7,5.3,0.0,4.8,1.7,6.6,4.4,Alto
39,1.57,3.75,3.47,7.32,3,4.8,6.6,5.7,7.2,3.9,2.0,6.6,4.5,5.7,4.8,Bajo
42,0.27,3.82,1.26,2.79,4,4.1,3.3,4.7,7.4,6.6,6.4,2.9,4.1,4.0,7.1,Moderado
28,0.22,2.57,1.63,2.33,7,1.0,1.0,10.0,7.4,8.4,5.3,1.0,2.1,3.6,8.7,Bajo
32,3.24,3.53,2.42,7.68,5,4.2,2.3,7.7,6.4,6.4,4.5,3.5,4.9,4.2,7.3,Bajo
40,0.53,5.05,2.58,4.0,5,2.2,2.0,7.9,8.0,8.7,4.6,2.7,2.2,4.0,6.9,Bajo
23,1.38,4.19,1.22,5.58,5,2.7,3.7,8.4,7.4,9.5,3.9,4.5,2.7,3.4,5.8,Bajo
40,2.57,2.2,5.01,11.04,3,6.8,7.2,3.2,5.6,5.3,3.9,7.7,8.0,7.8,1.4,Alto
35,1.39,4.45,3.31,6.48,4,5.6,7.9,4.7,7.8,4.1,2.0,5.5,7.4,8.1,6.3,Alto
16,0.03,5.79,3.4,6.81,4,1.0,2.8,7.7,8.8,10.0,4.8,1.1,1.0,1.7,8.9,Bajo
34,0.53,3.1,0.0,3.9,5,3.4,1.9,10.0,8.2,7.9,6.3,1.8,2.0,2.6,7.9,Bajo
42,0.65,4.22,4.57,7.3,5,3.6,3.6,6.1,8.4,4.9,1.5,2.8,4.0,4.3,8.9,Bajo
29,2.03,4.8,1.73,7.5,6,2.3,3.6,7.1,7.7,7.6,4.3,3.1,2.8,2.5,6.6,Bajo
42,0.5,2.83,3.04,4.92,4,6.6,4.6,8.6,6.1,7.4,2.8,4.9,3.9,6.3,5.4,Moderado
21,0.0,6.1,0.65,1.0,6,2.4,1.0,8.2,7.5,8.3,5.0,1.1,1.4,3.0,7.1,Bajo
26,2.31,1.48,1.89,4.65,2,4.3,6.1,5.0,7.0,5.8,2.1,5.5,6.6,6.6,2.6,Moderado
43,1.16,3.91,1.93,4.42,3,6.1,3.0,6.8,7.6,5.8,4.6,5.4,3.0,5.3,8.4,Bajo
22,2.23,2.9,1.79,6.56,6,4.3,4.8,4.9,7.6,7.9,6.1,4.3,1.8,2.7,8.9,Moderado
29,1.52,3.72,2.67,5.03,5,5.9,3.9,4.7,6.0,6.2,4.7,5.6,6.4,6.7,7.3,Moderado
17,0.8,5.17,3.2,5.33,6,3.8,4.8,9.5,8.0,9.1,4.0,3.3,3.3,3.7,8.0,Bajo
28,0.0,6.07,0.66,1.41,8,2.5,1.0,10.0,8.4,9.8,7.4,1.0,1.0,1.1,10.0,Bajo
31,2.38,3.77,2.72,6.45,3,4.6,4.5,6.0,7.5,5.8,5.1,3.8,4.3,6.1,5.1,Bajo
18,0.17,4.38,2.56,6.08,4,1.1,4.7,5.9,6.5,8.8,4.9,5.1,4.6,5.2,7.0,Bajo
32,0.0,5.13,0.0,2.36,7,1.8,1.1,8.3,9.4,7.5,6.7,1.0,2.1,5.8,7.2,Bajo
22,2.61,3.49,1.93,5.96,3,8.0,6.2,4.3,6.5,4.8,0.0,8.4,7.0,5.7,1.0,Alto
18,2.5,3.96,1.67,7.39,3,6.7,7.0,5.0,6.2,4.6,3.2,4.5,4.1,5.0,6.1,Alto
16,4.09,2.74,4.57,10.69,0,10.0,7.7,2.5,5.9,3.2,1.5,10.0,7.0,7.7,2.0,Alto
44,3.15,3.25,1.46,6.75,5,5.7,6.5,3.2,7.2,6.6,0.8,4.9,5.2,6.6,2.8,Alto
20,0.44,3.05,1.17,4.75,2,3.6,3.7,6.0,8.0,6.8,5.1,2.5,1.0,3.6,6.8,Bajo
36,1.16,5.85,0.23,3.05,6,3.0,3.9,9.2,6.7,8.8,6.5,1.0,1.0,2.6,9.0,Bajo
24,1.26,5.89,2.49,6.67,5,3.9,5.1,9.7,8.4,8.2,4.3,5.7,3.3,4.1,7.1,Bajo
18,2.07,7.19,2.27,7.18,3,4.2,2.7,8.4,7.2,7.9,5.8,3.9,1.0,2.6,5.2,Bajo
36,1.29,5.33,2.31,5.45,6,5.5,5.7,7.5,6.9,8.1,5.4,5.5,5.4,7.0,4.3,Moderado
43,0.17,5.2,0.0,1.0,2,1.3,1.0,9.0,6.1,10.0,7.9,1.0,2.5,1.5,10.0,Bajo
32,0.91,3.48,2.91,5.83,3,5.2,5.5,5.1,6.1,4.3,5.0,4.7,3.6,5.4,4.8,Moderado
40,3.93,3.63,2.92,9.99,5,6.8,6.4,6.1,6.5,7.8,5.9,5.6,4.5,2.3,7.1,Alto
26,2.83,3.01,3.84,9.49,2,8.5,5.7,4.9,7.0,6.1,2.6,4.1,7.3,3.9,7.2,Alto
16,0.0,5.15,3.11,6.82,6,4.6,1.9,10.0,7.3,8.9,4.8,2.0,1.0,2.3,7.6,Bajo
24,1.61,5.01,3.87,6.99,3,6.4,3.9,7.0,5.4,5.8,0.0,3.5,5.3,5.1,6.0,Moderado
44,2.99,0.98,3.96,9.73,4,5.8,8.1,2.9,6.3,2.4,0.8,7.2,9.6,8.1,1.2,Alto
18,1.85,3.94,1.35,4.2,11,1.0,3.3,5.6,7.4,8.4,6.9,1.0,1.0,1.7,6.9,Bajo
28,1.06,6.2,0.87,4.14,6,2.4,3.2,7.7,7.0,8.5,4.2,1.0,1.0,4.0,8.4,Bajo
30,2.07,4.67,4.57,9.74,4,6.5,4.8,3.1,6.6,7.6,3.7,4.9,6.2,7.0,4.4,Moderado
29,0.0,4.41,1.7,4.6,4,2.8,3.4,8.0,6.1,7.4,5.5,3.3,4.6,4.2,8.4,Bajo
22,2.15,5.91,2.9,7.15,5,4.7,2.7,5.1,7.7,5.0,6.1,3.4,2.7,5.8,7.6,Alto
28,4.09,3.35,3.39,9.21,1,6.6,8.0,4.7,5.8,2.4,0.0,8.6,10.0,6.1,3.9,Alto
37,0.93,4.69,0.39,2.32,6,5.0,1.0,8.6,7.4,10.0,5.6,4.6,2.3,4.2,8.1,Bajo
42,3.44,0.0,3.64,8.86,0,10.0,8.0,3.8,6.8,3.2,2.7,7.2,4.9,9.7,3.3,Alto
39,0.82,2.7,1.86,3.37,3,2.7,2.5,8.1,6.8,8.7,3.1,2.1,5.2,6.1,6.0,Bajo
44,1.39,4.58,1.57,4.62,7,1.0,1.3,8.8,8.0,8.5,6.8,3.4,1.1,5.4,7.0,Bajo
22,3.71,4.1,2.37,6.27,3,6.2,6.0,5.5,6.5,4.2,1.2,3.9,5.8,6.3,6.5,Moderado
35,2.15,4.64,2.63,5.47,6,6.8,5.8,7.6,9.8,8.7,5.5,3.6,2.2,4.5,6.7,Moderado
30,2.29,3.52,3.69,8.84,5,5.0,5.5,5.8,7.4,8.1,0.8,2.5,3.1,2.0,5.0,Bajo
27,0.69,4.61,0.06,3.49,6,3.6,1.0,8.3,6.5,7.7,3.6,4.1,1.0,2.2,7.5,Bajo
32,0.53,3.86,0.48,2.73,3,4.7,5.6,4.4,8.5,7.5,3.7,5.4,2.3,4.5,4.1,Bajo
29,0.0,6.06,1.68,3.74,7,1.0,1.0,10.0,9.4,10.0,6.8,2.3,1.0,1.1,9.4,Bajo
35,2.7,3.92,1.26,6.16,5,6.6,4.4,8.5,6.9,6.6,0.9,4.4,5.1,4.4,6.2,Bajo
38,4.21,2.54,3.42,10.08,2,8.3,6.6,4.5,5.7,6.3,4.0,6.1,6.1,7.6,3.8,Alto
40,0.05,4.27,1.34,3.74,8,1.8,1.0,9.4,7.0,7.9,7.2,1.0,1.0,2.2,9.5,Bajo
39,1.25,4.24,2.03,3.95,4,2.1,3.8,7.2,7.7,6.8,7.3,2.1,1.6,4.4,5.7,Bajo
42,1.24,4.94,1.55,2.34,4,5.6,2.9,7.7,7.0,8.1,6.1,4.5,2.6,4.5,6.4,Bajo
42,0.0,6.65,1.06,2.04,4,1.0,1.0,9.3,7.3,9.6,4.7,5.5,1.0,1.9,10.0,Bajo
42,0.0,5.43,2.97,4.81,7,1.0,1.0,9.6,9.1,8.7,4.9,1.0,1.0,2.8,10.0,Bajo
27,0.0,5.5,3.1,6.06,7,2.2,1.1,9.0,9.2,9.7,4.8,2.8,3.4,1.5,8.9,Bajo
23,0.34,4.83,1.56,4.14,3,4.3,2.5,7.2,6.7,5.6,7.6,3.8,4.2,4.2,6.3,Bajo
43,3.69,2.59,4.7,10.92,3,8.6,9.7,3.7,6.9,2.9,2.7,7.3,6.9,7.3,5.3,Alto
29,0.54,3.92,1.48,3.13,6,1.0,1.0,9.2,8.3,8.9,6.0,2.7,3.6,1.0,7.9,Bajo
27,3.86,4.69,2.77,8.57,4,5.1,6.1,5.9,7.1,8.2,5.7,3.7,4.3,4.9,6.7,Alto
15,2.0,4.51,1.81,5.87,3,4.1,5.8,4.9,6.1,9.2,2.0,4.4,7.3,6.2,4.9,Moderado
39,2.84,2.39,4.62,8.7,2,10.0,8.9,3.3,5.6,4.1,2.8,9.3,9.2,7.3,2.2,Alto
21,1.98,3.41,2.76,5.68,5,6.6,5.4,5.9,5.6,5.2,4.1,6.3,4.8,3.8,4.5,Moderado
23,2.21,1.53,2.75,6.73,3,7.1,5.4,6.6,5.5,5.6,4.7,6.1,6.3,5.0,4.7,Alto
38,2.53,4.01,2.43,7.62,2,7.5,3.8,5.0,7.0,5.6,4.4,6.5,5.2,4.6,5.8,Alto
15,0.68,6.5,2.58,4.35,3,5.4,2.5,7.1,7.2,9.9,5.0,3.4,1.0,4.0,6.2,Bajo
26,1.05,3.52,1.16,4.0,6,5.9,3.5,7.0,6.6,6.1,2.6,4.7,2.8,4.2,6.4,Moderado
22,3.57,4.12,2.86,9.78,1,7.8,7.1,2.3,5.1,5.9,1.8,7.6,4.6,5.0,4.1,Alto
38,0.0,7.39,1.23,2.71,6,1.0,1.0,10.0,7.1,8.5,7.7,1.0,1.0,1.0,10.0,Bajo
25,0.0,3.61,1.67,3.68,3,2.9,1.4,4.7,5.7,7.2,7.6,3.6,3.5,3.0,5.3,Bajo
33,0.0,5.07,1.05,2.95,6,3.0,1.0,10.0,8.0,8.9,3.8,1.8,1.0,2.8,7.6,Bajo
31,1.87,2.35,3.77,7.45,7,6.4,4.3,7.0,4.5,6.6,1.8,4.1,4.8,4.6,3.5,Bajo
22,1.39,4.4,3.39,8.45,5,3.2,4.3,3.0,7.7,7.3,2.1,3.6,3.4,4.7,6.0,Bajo
17,2.02,3.76,1.0,5.33,2,7.2,6.1,6.4,7.0,5.6,2.1,5.6,6.3,6.4,4.3,Moderado
17,1.54,2.8,2.26,4.23,3,6.0,3.5,7.6,7.0,6.7,5.6,2.2,3.9,5.5,6.8,Moderado
15,0.0,6.09,0.0,3.53,4,1.0,1.0,8.7,8.1,7.5,7.8,2.3,1.0,1.0,6.2,Bajo
41,0.0,6.29,0.61,2.89,5,1.9,1.0,7.5,7.8,9.9,2.7,2.6,1.8,2.1,9.6,Bajo
19,2.03,4.66,2.49,6.15,2,4.9,4.1,4.9,7.2,7.5,2.2,5.1,4.2,6.3,5.4,Alto
24,0.55,5.3,1.37,5.28,6,3.3,3.3,6.6,7.7,9.5,2.8,4.0,1.0,2.9,7.1,Bajo
21,0.93,3.36,0.94,3.1,5,2.7,1.6,8.8,8.5,9.7,3.3,3.2,2.5,3.1,8.2,Bajo
40,0.38,2.85,2.36,6.46,3,4.9,6.7,3.5,7.7,5.3,2.5,5.8,5.4,6.0,5.8,Alto
23,1.57,3.52,3.99,7.65,3,5.8,5.4,5.7,7.8,6.8,2.5,7.2,5.8,5.7,3.8,Moderado
42,2.92,3.48,5.83,11.76,0,7.9,7.2,2.2,5.0,3.3,2.6,6.8,7.8,8.2,1.8,Alto
21,1.26,4.35,0.12,6.45,3,4.7,6.0,6.7,7.9,5.3,1.5,2.6,1.0,3.8,6.2,Bajo
23,1.68,5.13,1.53,5.4,3,4.0,4.5,5.2,7.9,8.8,4.0,3.8,1.0,1.5,6.4,Moderado
22,1.95,2.61,3.65,7.5,2,6.3,4.8,3.7,6.1,6.6,5.5,5.8,3.7,7.1,3.5,Moderado
26,1.45,3.46,1.91,4.29,5,2.1,2.8,8.8,6.6,7.5,6.8,4.5,2.9,4.7,7.0,Bajo
16,1.33,3.3,0.86,4.07,8,2.5,1.0,6.9,7.0,7.4,7.1,1.4,4.2,4.3,6.2,Bajo
15,1.35,3.8,1.82,4.13,3,3.8,2.1,6.8,6.2,7.4,4.8,4.0,1.7,4.5,6.5,Bajo
30,4.11,4.24,4.45,10.38,1,8.7,7.1,5.0,4.6,3.1,1.0,6.4,6.7,7.4,4.9,Alto
37,2.61,2.82,2.9,10.4,3,6.1,6.1,4.4,7.0,5.8,3.4,6.9,5.4,5.2,4.5,Alto
37,2.44,3.47,3.26,7.82,2,7.2,6.3,4.1,6.5,3.9,6.8,7.7,4.6,4.1,3.6,Alto
44,3.9,2.79,4.09,9.44,2,9.7,8.8,4.4,5.9,2.6,1.3,8.3,7.5,9.7,2.6,Alto
38,3.83,1.92,2.88,8.5,2,5.8,7.5,4.2,7.2,3.3,5.7,5.6,6.7,6.6,4.4,Alto
19,0.41,4.81,2.19,4.18,5,1.4,2.1,8.7,7.6,10.0,1.7,1.3,1.0,1.1,8.0,Bajo
17,2.83,3.65,2.91,8.79,2,7.1,5.3,5.5,7.1,5.0,3.8,5.8,6.3,5.3,3.6,Moderado
26,2.12,3.31,2.51,6.54,3,7.1,7.3,4.0,5.6,6.1,3.8,5.5,6.0,7.1,2.1,Alto
22,3.48,1.29,5.38,12.47,5,7.3,6.8,5.7,5.9,4.0,3.8,5.6,4.0,6.4,5.5,Alto
36,0.12,4.81,2.23,4.03,5,4.6,3.5,6.2,7.1,6.6,4.9,3.2,3.4,3.8,5.3,Bajo
41,0.85,2.85,0.45,3.04,3,8.3,3.6,6.2,8.5,6.2,4.1,3.9,5.7,4.6,6.7,Moderado
17,1.77,3.5,3.73,6.61,5,3.1,5.9,6.6,8.2,8.3,4.9,4.9,5.7,4.3,5.6,Bajo
15,0.0,5.48,2.77,4.39,7,3.9,2.3,7.7,8.7,7.5,4.7,3.1,3.9,1.0,7.2,Bajo
17,1.42,6.33,2.23,3.92,5,3.6,1.0,7.6,6.3,7.3,4.5,5.1,1.8,3.2,6.8,Bajo
19,1.07,3.03,3.84,4.77,3,4.9,8.7,1.4,6.6,4.3,1.1,5.4,4.7,5.6,4.8,Moderado
29,1.09,6.18,3.75,7.47,5,1.0,1.8,9.4,8.4,8.0,6.2,1.0,2.1,5.3,6.7,Bajo
28,1.1,3.45,0.73,2.08,6,1.9,5.5,6.0,9.4,6.7,6.9,3.9,1.6,3.1,6.7,Bajo
17,2.57,3.3,3.39,8.37,3,8.1,6.8,3.1,5.0,3.4,5.7,7.1,7.0,6.6,5.3,Alto
15,0.0,3.31,4.6,6.1,2,6.6,4.6,5.2,7.6,6.6,2.6,6.1,4.4,7.1,4.5,Moderado
19,0.87,3.65,5.26,9.07,4,6.1,6.1,2.5,7.6,6.3,0.7,7.4,5.3,4.7,5.6,Moderado
40,0.09,5.06,0.9,1.28,8,1.9,1.0,9.1,8.3,7.3,6.0,3.8,2.2,2.2,9.3,Bajo
37,2.03,2.05,5.06,9.69,6,5.2,5.9,5.4,5.4,4.7,1.6,4.4,5.3,5.3,5.8,Moderado
28,1.22,3.84,2.64,6.2,4,3.3,5.3,6.7,7.7,7.6,5.6,5.0,3.0,1.9,7.5,Bajo
21,0.12,3.48,2.98,5.46,4,2.2,1.0,7.2,8.1,10.0,1.9,2.1,2.2,3.0,5.8,Bajo
41,0.72,3.25,2.76,6.61,8,5.9,3.9,6.1,7.5,4.0,6.2,4.4,2.8,5.5,5.5,Bajo
23,1.33,2.98,4.17,7.57,4,6.5,6.9,4.1,5.4,4.6,2.6,7.5,5.8,8.3,1.8,Alto
29,1.68,4.15,4.34,5.58,5,4.7,3.4,4.7,6.5,8.0,1.6,2.6,5.3,5.8,6.2,Moderado
29,3.84,1.81,4.17,10.46,0,10.0,10.0,1.1,5.9,1.7,1.8,10.0,7.5,8.0,1.9,Alto
40,0.0,8.08,2.34,4.66,6,1.4,1.0,8.1,7.8,9.8,6.6,1.0,1.7,1.0,8.5,Bajo
24,0.0,5.4,3.01,4.77,5,1.0,1.7,10.0,7.5,9.7,6.6,3.6,1.2,5.1,8.7,Bajo
42,1.99,3.18,5.19,8.33,5,6.1,7.8,2.9,5.9,4.1,3.6,6.2,6.1,7.5,4.3,Alto
27,4.73,2.29,4.0,10.37,0,8.8,10.0,3.6,6.0,5.7,0.0,6.4,8.0,5.7,1.8,Alto
33,1.01,7.71,1.88,6.35,8,3.3,1.3,9.4,8.5,8.2,4.3,2.0,3.1,6.6,6.7,Bajo
21,2.24,0.91,1.29,4.61,4,6.6,2.8,7.5,5.9,7.4,3.8,6.4,6.2,5.0,7.3,Moderado
31,2.25,2.5,2.76,5.27,1,7.2,8.2,3.2,5.3,5.8,2.7,4.0,3.9,2.7,3.5,Moderado
34,0.0,4.91,2.89,3.42,6,3.9,3.5,6.9,6.8,7.7,3.7,5.1,3.4,6.4,6.8,Bajo
43,3.38,3.08,1.22,6.56,5,4.7,5.4,7.2,5.3,5.3,5.4,7.0,6.0,2.5,7.2,Moderado
18,1.85,4.55,2.21,7.74,2,3.5,6.6,6.9,7.5,6.7,1.4,4.3,4.9,5.4,4.6,Bajo
44,0.0,5.57,2.96,7.17,6,1.9,1.5,10.0,6.2,9.1,5.3,1.1,1.5,3.5,7.5,Bajo
19,0.76,5.24,2.0,5.42,7,2.6,6.3,4.4,7.9,6.3,4.1,3.9,5.1,5.2,6.4,Bajo
37,0.0,2.85,3.55,4.56,3,6.1,4.7,6.9,8.0,7.6,3.8,3.2,3.8,6.9,6.1,Bajo
21,2.55,4.06,3.17,6.84,6,5.9,3.9,4.8,7.2,3.9,2.4,7.9,1.3,6.4,5.0,Alto
27,0.0,6.37,0.46,3.34,5,1.9,1.0,10.0,6.5,10.0,9.3,1.8,1.0,4.3,10.0,Bajo
29,2.92,3.3,3.1,9.35,0,5.1,6.7,5.3,6.6,2.5,4.6,4.5,8.0,6.2,5.2,Moderado
25,2.29,4.01,2.8,6.44,4,5.1,2.1,6.5,6.2,6.1,7.2,3.8,4.6,4.7,4.8,Bajo
43,0.4,6.36,0.0,3.82,3,2.2,2.4,8.0,6.7,9.5,6.2,2.6,1.0,2.8,6.4,Bajo
18,4.21,0.34,5.25,11.23,1,9.1,10.0,4.1,6.3,1.8,3.0,6.5,9.4,9.7,2.5,Alto
27,2.13,4.51,2.04,6.88,5,4.9,3.6,7.4,7.9,7.6,4.4,2.0,4.3,3.6,7.2,Bajo
21,0.5,3.1,3.2,6.85,3,3.8,4.1,7.0,8.4,7.4,6.7,4.3,3.6,5.5,8.7,Bajo
41,2.47,4.05,3.53,6.51,6,5.8,7.1,3.5,6.3,5.7,4.1,7.0,6.0,5.1,4.9,Alto
33,3.77,1.09,4.22,10.44,1,10.0,9.8,2.7,5.8,2.7,1.5,9.4,6.7,7.2,2.1,Alto
