car_name,horsepower,weight,acceleration,cylinders,displacement,model_year,mpg
pontiac firebird,100.0,3282,15.0,6,250.0,71,19.0
ford mustang,88.0,3139,14.5,6,250.0,71,18.0
mercury capri 2000,86.0,2220,14.0,4,122.0,71,23.0
opel 1900,90.0,2123,14.0,4,116.0,71,28.0
peugeot 304,70.0,2074,19.5,4,79.0,71,30.0
fiat 124b,76.0,2065,14.5,4,88.0,71,30.0
toyota corolla 1200,65.0,1773,19.0,4,71.0,71,31.0
datsun 1200,69.0,1613,18.0,4,72.0,71,35.0
volkswagen model 111,60.0,1834,19.0,4,97.0,71,27.0
plymouth cricket,70.0,1955,20.5,4,91.0,71,26.0
toyota corona hardtop,95.0,2278,15.5,4,113.0,72,24.0
dodge colt hardtop,80.0,2126,17.0,4,97.5,72,25.0
volkswagen type 3,54.0,2254,23.5,4,97.0,72,23.0
chevrolet vega,90.0,2408,19.5,4,140.0,72,20.0
ford pinto runabout,86.0,2226,16.5,4,122.0,72,21.0
chevrolet impala,165.0,4274,12.0,8,350.0,72,13.0
pontiac catalina,175.0,4385,12.0,8,400.0,72,14.0
plymouth fury iii,150.0,4135,13.5,8,318.0,72,15.0
ford galaxie 500,153.0,4129,13.0,8,351.0,72,14.0
amc ambassador sst,150.0,3672,11.5,8,304.0,72,17.0
mercury marquis,208.0,4633,11.0,8,429.0,72,11.0
buick lesabre custom,155.0,4502,13.5,8,350.0,72,13.0
oldsmobile delta 88 royale,160.0,4456,13.5,8,350.0,72,12.0
chrysler newport royal,190.0,4422,12.5,8,400.0,72,13.0
mazda rx2 coupe,97.0,2330,13.5,3,70.0,72,19.0
amc matador (sw),150.0,3892,12.5,8,304.0,72,15.0
chevrolet chevelle concours (sw),130.0,4098,14.0,8,307.0,72,13.0
ford gran torino (sw),140.0,4294,16.0,8,302.0,72,13.0
plymouth satellite custom (sw),150.0,4077,14.0,8,318.0,72,14.0
volvo 145e (sw),112.0,2933,14.5,4,121.0,72,18.0
volkswagen 411 (sw),76.0,2511,18.0,4,121.0,72,22.0
peugeot 504 (sw),87.0,2979,19.5,4,120.0,72,21.0
renault 12 (sw),69.0,2189,18.0,4,96.0,72,26.0
ford pinto (sw),86.0,2395,16.0,4,122.0,72,22.0
datsun 510 (sw),92.0,2288,17.0,4,97.0,72,28.0
toyouta corona mark ii (sw),97.0,2506,14.5,4,120.0,72,23.0
dodge colt (sw),80.0,2164,15.0,4,98.0,72,28.0
toyota corolla 1600 (sw),88.0,2100,16.5,4,97.0,72,27.0
buick century 350,175.0,4100,13.0,8,350.0,73,13.0
amc matador,150.0,3672,11.5,8,304.0,73,14.0
chevrolet malibu,145.0,3988,13.0,8,350.0,73,13.0
ford gran torino,137.0,4042,14.5,8,302.0,73,14.0
dodge coronet custom,150.0,3777,12.5,8,318.0,73,15.0
mercury marquis brougham,198.0,4952,11.5,8,429.0,73,12.0
chevrolet caprice classic,150.0,4464,12.0,8,400.0,73,13.0
ford ltd,158.0,4363,13.0,8,351.0,73,13.0
plymouth fury gran sedan,150.0,4237,14.5,8,318.0,73,14.0
chrysler new yorker brougham,215.0,4735,11.0,8,440.0,73,13.0
buick electra 225 custom,225.0,4951,11.0,8,455.0,73,12.0
amc ambassador brougham,175.0,3821,11.0,8,360.0,73,13.0
plymouth valiant,105.0,3121,16.5,6,225.0,73,18.0
chevrolet nova custom,100.0,3278,18.0,6,250.0,73,16.0
amc hornet,100.0,2945,16.0,6,232.0,73,18.0
ford maverick,88.0,3021,16.5,6,250.0,73,18.0
plymouth duster,95.0,2904,16.0,6,198.0,73,23.0
volkswagen super beetle,46.0,1950,21.0,4,97.0,73,26.0
chevrolet impala,150.0,4997,14.0,8,400.0,73,11.0
ford country,167.0,4906,12.5,8,400.0,73,12.0
plymouth custom suburb,170.0,4654,13.0,8,360.0,73,13.0
oldsmobile vista cruiser,180.0,4499,12.5,8,350.0,73,12.0
amc gremlin,100.0,2789,15.0,6,232.0,73,18.0
toyota carina,88.0,2279,19.0,4,97.0,73,20.0
chevrolet vega,72.0,2401,19.5,4,140.0,73,21.0
datsun 610,94.0,2379,16.5,4,108.0,73,22.0
maxda rx3,90.0,2124,13.5,3,70.0,73,18.0
ford pinto,85.0,2310,18.5,4,122.0,73,19.0
mercury capri v6,107.0,2472,14.0,6,155.0,73,21.0
fiat 124 sport coupe,90.0,2265,15.5,4,98.0,73,26.0
chevrolet monte carlo s,145.0,4082,13.0,8,350.0,73,15.0
pontiac grand prix,230.0,4278,9.5,8,400.0,73,16.0
fiat 128,49.0,1867,19.5,4,68.0,73,29.0
opel manta,75.0,2158,15.5,4,116.0,73,24.0
audi 100ls,91.0,2582,14.0,4,114.0,73,20.0
volvo 144ea,112.0,2868,15.5,4,121.0,73,19.0
dodge dart custom,150.0,3399,11.0,8,318.0,73,15.0
saab 99le,110.0,2660,14.0,4,121.0,73,24.0
toyota mark ii,122.0,2807,13.5,6,156.0,73,20.0
oldsmobile omega,180.0,3664,11.0,8,350.0,73,11.0
plymouth duster,95.0,3102,16.5,6,198.0,74,20.0
ford maverick,,2875,17.0,6,200.0,74,21.0
amc hornet,100.0,2901,16.0,6,232.0,74,19.0
chevrolet nova,100.0,3336,17.0,6,250.0,74,15.0
datsun b210,67.0,1950,19.0,4,79.0,74,31.0
ford pinto,80.0,2451,16.5,4,122.0,74,26.0
toyota corolla 1200,65.0,1836,21.0,4,71.0,74,32.0
chevrolet vega,75.0,2542,17.0,4,140.0,74,25.0
chevrolet chevelle malibu classic,100.0,3781,17.0,6,250.0,74,16.0
amc matador,110.0,3632,18.0,6,258.0,74,16.0
plymouth satellite sebring,105.0,3613,16.5,6,225.0,74,18.0
ford gran torino,140.0,4141,14.0,8,302.0,74,16.0
buick century luxus (sw),150.0,4699,14.5,8,350.0,74,13.0
dodge coronet custom (sw),150.0,4457,13.5,8,318.0,74,14.0
ford gran torino (sw),140.0,4638,16.0,8,302.0,74,14.0
amc matador (sw),150.0,4257,15.5,8,304.0,74,14.0
audi fox,83.0,2219,16.5,4,98.0,74,29.0
volkswagen dasher,67.0,1963,15.5,4,79.0,74,26.0
opel manta,78.0,2300,14.5,4,97.0,74,26.0
toyota corona,52.0,1649,16.5,4,76.0,74,31.0
datsun 710,61.0,2003,19.0,4,83.0,74,32.0
dodge colt,75.0,2125,14.5,4,90.0,74,28.0
fiat 128,75.0,2108,15.5,4,90.0,74,24.0
fiat 124 tc,75.0,2246,14.0,4,116.0,74,26.0
honda civic,97.0,2489,15.0,4,120.0,74,24.0
subaru,93.0,2391,15.5,4,108.0,74,26.0
fiat x1.9,67.0,2000,16.0,4,79.0,74,31.0
plymouth valiant custom,95.0,3264,16.0,6,225.0,75,19.0
chevrolet nova,105.0,3459,16.0,6,250.0,75,18.0
mercury monarch,72.0,3432,21.0,6,250.0,75,15.0
ford maverick,72.0,3158,19.5,6,250.0,75,15.0
pontiac catalina,170.0,4668,11.5,8,400.0,75,16.0
chevrolet bel air,145.0,4440,14.0,8,350.0,75,15.0
plymouth grand fury,150.0,4498,14.5,8,318.0,75,16.0
ford ltd,148.0,4657,13.5,8,351.0,75,14.0
buick century,110.0,3907,21.0,6,231.0,75,17.0
chevroelt chevelle malibu,105.0,3897,18.5,6,250.0,75,16.0
amc matador,110.0,3730,19.0,6,258.0,75,15.0
plymouth fury,95.0,3785,19.0,6,225.0,75,18.0
buick skyhawk,110.0,3039,15.0,6,231.0,75,21.0
chevrolet monza 2+2,110.0,3221,13.5,8,262.0,75,20.0
ford mustang ii,129.0,3169,12.0,8,302.0,75,13.0
toyota corolla,75.0,2171,16.0,4,97.0,75,29.0
ford pinto,83.0,2639,17.0,4,140.0,75,23.0
amc gremlin,100.0,2914,16.0,6,232.0,75,20.0
pontiac astro,78.0,2592,18.5,4,140.0,75,23.0
toyota corona,96.0,2702,13.5,4,134.0,75,24.0
volkswagen dasher,71.0,2223,16.5,4,90.0,75,25.0
datsun 710,97.0,2545,17.0,4,119.0,75,24.0
ford pinto,97.0,2984,14.5,6,171.0,75,18.0
volkswagen rabbit,70.0,1937,14.0,4,90.0,75,29.0
amc pacer,90.0,3211,17.0,6,232.0,75,19.0
audi 100ls,95.0,2694,15.0,4,115.0,75,23.0
peugeot 504,88.0,2957,17.0,4,120.0,75,23.0
volvo 244dl,98.0,2945,14.5,4,121.0,75,22.0
saab 99le,115.0,2671,13.5,4,121.0,75,25.0
honda civic cvcc,53.0,1795,17.5,4,91.0,75,33.0
fiat 131,86.0,2464,15.5,4,107.0,76,28.0
opel 1900,81.0,2220,16.9,4,116.0,76,25.0
capri ii,92.0,2572,14.9,4,140.0,76,25.0
dodge colt,79.0,2255,17.7,4,98.0,76,26.0
renault 12tl,83.0,2202,15.3,4,101.0,76,27.0
chevrolet chevelle malibu classic,140.0,4215,13.0,8,305.0,76,17.5
dodge coronet brougham,150.0,4190,13.0,8,318.0,76,16.0
amc matador,120.0,3962,13.9,8,304.0,76,15.5
ford gran torino,152.0,4215,12.8,8,351.0,76,14.5
plymouth valiant,100.0,3233,15.4,6,225.0,76,22.0
chevrolet nova,105.0,3353,14.5,6,250.0,76,22.0
ford maverick,81.0,3012,17.6,6,200.0,76,24.0
amc hornet,90.0,3085,17.6,6,232.0,76,22.5
chevrolet chevette,52.0,2035,22.2,4,85.0,76,29.0
chevrolet woody,60.0,2164,22.1,4,98.0,76,24.5
vw rabbit,70.0,1937,14.2,4,90.0,76,29.0
honda civic,53.0,1795,17.4,4,91.0,76,33.0
dodge aspen se,100.0,3651,17.7,6,225.0,76,20.0
ford granada ghia,78.0,3574,21.0,6,250.0,76,18.0
pontiac ventura sj,110.0,3645,16.2,6,250.0,76,18.5
amc pacer d/l,95.0,3193,17.8,6,258.0,76,17.5
volkswagen rabbit,71.0,1825,12.2,4,97.0,76,29.5
datsun b-210,70.0,1990,17.0,4,85.0,76,32.0
toyota corolla,75.0,2155,16.4,4,97.0,76,28.0
ford pinto,72.0,2565,13.6,4,140.0,76,26.5
volvo 245,102.0,3150,15.7,4,130.0,76,20.0
plymouth volare premier v8,150.0,3940,13.2,8,318.0,76,13.0
peugeot 504,88.0,3270,21.9,4,120.0,76,19.0
toyota mark ii,108.0,2930,15.5,6,156.0,76,19.0
mercedes-benz 280s,120.0,3820,16.7,6,168.0,76,16.5
cadillac seville,180.0,4380,12.1,8,350.0,76,16.5
chevy c10,145.0,4055,12.0,8,350.0,76,13.0
ford f108,130.0,3870,15.0,8,302.0,76,13.0
dodge d100,150.0,3755,14.0,8,318.0,76,13.0
honda accord cvcc,68.0,2045,18.5,4,98.0,77,31.5
buick opel isuzu deluxe,80.0,2155,14.8,4,111.0,77,30.0
renault 5 gtl,58.0,1825,18.6,4,79.0,77,36.0
plymouth arrow gs,96.0,2300,15.5,4,122.0,77,25.5
datsun f-10 hatchback,70.0,1945,16.8,4,85.0,77,33.5
chevrolet caprice classic,145.0,3880,12.5,8,305.0,77,17.5
oldsmobile cutlass supreme,110.0,4060,19.0,8,260.0,77,17.0
dodge monaco brougham,145.0,4140,13.7,8,318.0,77,15.5
mercury cougar brougham,130.0,4295,14.9,8,302.0,77,15.0
chevrolet concours,110.0,3520,16.4,6,250.0,77,17.5
buick skylark,105.0,3425,16.9,6,231.0,77,20.5
plymouth volare custom,100.0,3630,17.7,6,225.0,77,19.0
ford granada,98.0,3525,19.0,6,250.0,77,18.5
pontiac grand prix lj,180.0,4220,11.1,8,400.0,77,16.0
chevrolet monte carlo landau,170.0,4165,11.4,8,350.0,77,15.5
chrysler cordoba,190.0,4325,12.2,8,400.0,77,15.5
ford thunderbird,149.0,4335,14.5,8,351.0,77,16.0
volkswagen rabbit custom,78.0,1940,14.5,4,97.0,77,29.0
pontiac sunbird coupe,88.0,2740,16.0,4,151.0,77,24.5
toyota corolla liftback,75.0,2265,18.2,4,97.0,77,26.0
ford mustang ii 2+2,89.0,2755,15.8,4,140.0,77,25.5
chevrolet chevette,63.0,2051,17.0,4,98.0,77,30.5
dodge colt m/m,83.0,2075,15.9,4,98.0,77,33.5
subaru dl,67.0,1985,16.4,4,97.0,77,30.0
volkswagen dasher,78.0,2190,14.1,4,97.0,77,30.5
datsun 810,97.0,2815,14.5,6,146.0,77,22.0
bmw 320i,110.0,2600,12.8,4,121.0,77,21.5
mazda rx-4,110.0,2720,13.5,3,80.0,77,21.5
volkswagen rabbit custom diesel,48.0,1985,21.5,4,90.0,78,43.1
ford fiesta,66.0,1800,14.4,4,98.0,78,36.1
mazda glc deluxe,52.0,1985,19.4,4,78.0,78,32.8
datsun b210 gx,70.0,2070,18.6,4,85.0,78,39.4
honda civic cvcc,60.0,1800,16.4,4,91.0,78,36.1
oldsmobile cutlass salon brougham,110.0,3365,15.5,8,260.0,78,19.9
dodge diplomat,140.0,3735,13.2,8,318.0,78,19.4
mercury monarch ghia,139.0,3570,12.8,8,302.0,78,20.2
pontiac phoenix lj,105.0,3535,19.2,6,231.0,78,19.2
chevrolet malibu,95.0,3155,18.2,6,200.0,78,20.5
ford fairmont (auto),85.0,2965,15.8,6,200.0,78,20.2
ford fairmont (man),88.0,2720,15.4,4,140.0,78,25.1
plymouth volare,100.0,3430,17.2,6,225.0,78,20.5
amc concord,90.0,3210,17.2,6,232.0,78,19.4
buick century special,105.0,3380,15.8,6,231.0,78,20.6
mercury zephyr,85.0,3070,16.7,6,200.0,78,20.8
dodge aspen,110.0,3620,18.7,6,225.0,78,18.6
amc concord d/l,120.0,3410,15.1,6,258.0,78,18.1
chevrolet monte carlo landau,145.0,3425,13.2,8,305.0,78,19.2
buick regal sport coupe (turbo),165.0,3445,13.4,6,231.0,78,17.7
ford futura,139.0,3205,11.2,8,302.0,78,18.1
dodge magnum xe,140.0,4080,13.7,8,318.0,78,17.5
chevrolet chevette,68.0,2155,16.5,4,98.0,78,30.0
toyota corona,95.0,2560,14.2,4,134.0,78,27.5
datsun 510,97.0,2300,14.7,4,119.0,78,27.2
dodge omni,75.0,2230,14.5,4,105.0,78,30.9
toyota celica gt liftback,95.0,2515,14.8,4,134.0,78,21.1
plymouth sapporo,105.0,2745,16.7,4,156.0,78,23.2
oldsmobile starfire sx,85.0,2855,17.6,4,151.0,78,23.8
datsun 200-sx,97.0,2405,14.9,4,119.0,78,23.9
audi 5000,103.0,2830,15.9,5,131.0,78,20.3
volvo 264gl,125.0,3140,13.6,6,163.0,78,17.0
saab 99gle,115.0,2795,15.7,4,121.0,78,21.6
peugeot 604sl,133.0,3410,15.8,6,163.0,78,16.2
volkswagen scirocco,71.0,1990,14.9,4,89.0,78,31.5
honda accord lx,68.0,2135,16.6,4,98.0,78,29.5
pontiac lemans v6,115.0,3245,15.4,6,231.0,79,21.5
mercury zephyr 6,85.0,2990,18.2,6,200.0,79,19.8
ford fairmont 4,88.0,2890,17.3,4,140.0,79,22.3
amc concord dl 6,90.0,3265,18.2,6,232.0,79,20.2
dodge aspen 6,110.0,3360,16.6,6,225.0,79,20.6
chevrolet caprice classic,130.0,3840,15.4,8,305.0,79,17.0
ford ltd landau,129.0,3725,13.4,8,302.0,79,17.6
mercury grand marquis,138.0,3955,13.2,8,351.0,79,16.5
dodge st. regis,135.0,3830,15.2,8,318.0,79,18.2
buick estate wagon (sw),155.0,4360,14.9,8,350.0,79,16.9
ford country squire (sw),142.0,4054,14.3,8,351.0,79,15.5
chevrolet malibu classic (sw),125.0,3605,15.0,8,267.0,79,19.2
chrysler lebaron town @ country (sw),150.0,3940,13.0,8,360.0,79,18.5
vw rabbit custom,71.0,1925,14.0,4,89.0,79,31.9
maxda glc deluxe,65.0,1975,15.2,4,86.0,79,34.1
dodge colt hatchback custom,80.0,1915,14.4,4,98.0,79,35.7
amc spirit dl,80.0,2670,15.0,4,121.0,79,27.4
mercedes benz 300d,77.0,3530,20.1,5,183.0,79,25.4
cadillac eldorado,125.0,3900,17.4,8,350.0,79,23.0
peugeot 504,71.0,3190,24.8,4,141.0,79,27.2
oldsmobile cutlass salon brougham,90.0,3420,22.2,8,260.0,79,23.9
plymouth horizon,70.0,2200,13.2,4,105.0,79,34.2
plymouth horizon tc3,70.0,2150,14.9,4,105.0,79,34.5
datsun 210,65.0,2020,19.2,4,85.0,79,31.8
fiat strada custom,69.0,2130,14.7,4,91.0,79,37.3
buick skylark limited,90.0,2670,16.0,4,151.0,79,28.4
chevrolet citation,115.0,2595,11.3,6,173.0,79,28.8
oldsmobile omega brougham,115.0,2700,12.9,6,173.0,79,26.8
pontiac phoenix,90.0,2556,13.2,4,151.0,79,33.5
vw rabbit,76.0,2144,14.7,4,98.0,80,41.5
toyota corolla tercel,60.0,1968,18.8,4,89.0,80,38.1
chevrolet chevette,70.0,2120,15.5,4,98.0,80,32.1
datsun 310,65.0,2019,16.4,4,86.0,80,37.2
chevrolet citation,90.0,2678,16.5,4,151.0,80,28.0
ford fairmont,88.0,2870,18.1,4,140.0,80,26.4
amc concord,90.0,3003,20.1,4,151.0,80,24.3
dodge aspen,90.0,3381,18.7,6,225.0,80,19.1
audi 4000,78.0,2188,15.8,4,97.0,80,34.3
toyota corona liftback,90.0,2711,15.5,4,134.0,80,29.8
mazda 626,75.0,2542,17.5,4,120.0,80,31.3
datsun 510 hatchback,92.0,2434,15.0,4,119.0,80,37.0
toyota corolla,75.0,2265,15.2,4,108.0,80,32.2
mazda glc,65.0,2110,17.9,4,86.0,80,46.6
dodge colt,105.0,2800,14.4,4,156.0,80,27.9
datsun 210,65.0,2110,19.2,4,85.0,80,40.8
vw rabbit c (diesel),48.0,2085,21.7,4,90.0,80,44.3
vw dasher (diesel),48.0,2335,23.7,4,90.0,80,43.4
audi 5000s (diesel),67.0,2950,19.9,5,121.0,80,36.4
mercedes-benz 240d,67.0,3250,21.8,4,146.0,80,30.0
honda civic 1500 gl,67.0,1850,13.8,4,91.0,80,44.6
renault lecar deluxe,,1835,17.3,4,85.0,80,40.9
subaru dl,67.0,2145,18.0,4,97.0,80,33.8
vokswagen rabbit,62.0,1845,15.3,4,89.0,80,29.8
datsun 280-zx,132.0,2910,11.4,6,168.0,80,32.7
mazda rx-7 gs,100.0,2420,12.5,3,70.0,80,23.7
triumph tr7 coupe,88.0,2500,15.1,4,122.0,80,35.0
ford mustang cobra,,2905,14.3,4,140.0,80,23.6
honda accord,72.0,2290,17.0,4,107.0,80,32.4
plymouth reliant,84.0,2490,15.7,4,135.0,81,27.2
buick skylark,84.0,2635,16.4,4,151.0,81,26.6
dodge aries wagon (sw),92.0,2620,14.4,4,156.0,81,25.8
chevrolet citation,110.0,2725,12.6,6,173.0,81,23.5
plymouth reliant,84.0,2385,12.9,4,135.0,81,30.0
toyota starlet,58.0,1755,16.9,4,79.0,81,39.1
plymouth champ,64.0,1875,16.4,4,86.0,81,39.0
honda civic 1300,60.0,1760,16.1,4,81.0,81,35.1
subaru,67.0,2065,17.8,4,97.0,81,32.3
datsun 210 mpg,65.0,1975,19.4,4,85.0,81,37.0
toyota tercel,62.0,2050,17.3,4,89.0,81,37.7
mazda glc 4,68.0,1985,16.0,4,91.0,81,34.1
plymouth horizon 4,63.0,2215,14.9,4,105.0,81,34.7
ford escort 4w,65.0,2045,16.2,4,98.0,81,34.4
ford escort 2h,65.0,2380,20.7,4,98.0,81,29.9
volkswagen jetta,74.0,2190,14.2,4,105.0,81,33.0
renault 18i,,2320,15.8,4,100.0,81,34.5
honda prelude,75.0,2210,14.4,4,107.0,81,33.7
toyota corolla,75.0,2350,16.8,4,108.0,81,32.4
datsun 200sx,100.0,2615,14.8,4,119.0,81,32.9
mazda 626,74.0,2635,18.3,4,120.0,81,31.6
peugeot 505s turbo diesel,80.0,3230,20.4,4,141.0,81,28.1
volvo diesel,76.0,3160,19.6,6,145.0,81,30.7
toyota cressida,116.0,2900,12.6,6,168.0,81,25.4
datsun 810 maxima,120.0,2930,13.8,6,146.0,81,24.2
buick century,110.0,3415,15.8,6,231.0,81,22.4
oldsmobile cutlass ls,105.0,3725,19.0,8,350.0,81,26.6
ford granada gl,88.0,3060,17.1,6,200.0,81,20.2
chrysler lebaron salon,85.0,3465,16.6,6,225.0,81,17.6
chevrolet cavalier,88.0,2605,19.6,4,112.0,82,28.0
chevrolet cavalier wagon,88.0,2640,18.6,4,112.0,82,27.0
chevrolet cavalier 2-door,88.0,2395,18.0,4,112.0,82,34.0
pontiac j2000 se hatchback,85.0,2575,16.2,4,112.0,82,31.0
dodge aries se,84.0,2525,16.0,4,135.0,82,29.0
pontiac phoenix,90.0,2735,18.0,4,151.0,82,27.0
ford fairmont futura,92.0,2865,16.4,4,140.0,82,24.0
amc concord dl,,3035,20.5,4,151.0,82,23.0
volkswagen rabbit l,74.0,1980,15.3,4,105.0,82,36.0
mazda glc custom l,68.0,2025,18.2,4,91.0,82,37.0
mazda glc custom,68.0,1970,17.6,4,91.0,82,31.0
plymouth horizon miser,63.0,2125,14.7,4,105.0,82,38.0
mercury lynx l,70.0,2125,17.3,4,98.0,82,36.0
nissan stanza xe,88.0,2160,14.5,4,120.0,82,36.0
honda accord,75.0,2205,14.5,4,107.0,82,36.0
toyota corolla,70.0,2245,16.9,4,108.0,82,34.0
honda civic,67.0,1965,15.0,4,91.0,82,38.0
honda civic (auto),67.0,1965,15.7,4,91.0,82,32.0
datsun 310 gx,67.0,1995,16.2,4,91.0,82,38.0
buick century limited,110.0,2945,16.4,6,181.0,82,25.0
oldsmobile cutlass ciera (diesel),85.0,3015,17.0,6,262.0,82,38.0
chrysler lebaron medallion,92.0,2585,14.5,4,156.0,82,26.0
ford granada l,112.0,2835,14.7,6,232.0,82,22.0
toyota celica gt,96.0,2665,13.9,4,144.0,82,32.0
dodge charger 2.2,84.0,2370,13.0,4,135.0,82,36.0
chevrolet camaro,90.0,2950,17.3,4,151.0,82,27.0
ford mustang gl,86.0,2790,15.6,4,140.0,82,27.0
vw pickup,52.0,2130,24.6,4,97.0,82,44.0
dodge rampage,84.0,2295,11.6,4,135.0,82,32.0
ford ranger,79.0,2625,18.6,4,120.0,82,28.0
chevy s-10,82.0,2720,19.4,4,119.0,82,31.0
